,Titular,Partido,Gobierno,Inicio,Fin,duracion
212,Vicente Zeballos Salinas,Independiente,,30 de septiembre de 2019,15 de julio de 2020,9 meses y 15 días
213,Pedro Cateriano Bellido,Independiente,,15 de julio de 2020,6 de agosto de 2020,20 días
214,Walter Martos Ruiz,Independiente,,6 de agosto de 2020,10 de noviembre de 2020,3 meses y 4 días
215,Ántero Flores-Aráoz Esparza,Independiente,Manuel Merino,11 de noviembre de 2020[8]​,17 de noviembre de 2020,6 días
216,Violeta Bermúdez Valdivia,Independiente,Francisco Sagasti,18 de noviembre de 2020[9]​,28 de julio de 2021,8 meses y 7 días
217,Guido Bellido Ugarte,Perú Libre,Pedro Castillo,29 de julio de 2021[10]​,6 de octubre de 2021,2 meses y 8 días
218,Mirtha Vásquez Chuquilin,Frente Amplio,,6 de octubre de 2021,31 de enero de 2022,3 meses y 25 días
219,Héctor Valer Pinto,Somos Perú,,1 de febrero de 2022,8 de febrero de 2022[11]​,7 días
220,Aníbal Torres Vásquez,Independiente,,8 de febrero de 2022,24 de noviembre de 2022,9 meses y 16 días
221,Betssy Chávez Chino,Perú Libre,,25 de noviembre de 2022,7 de diciembre de 2022,13 días
222,Pedro Angulo Arana,Independiente,Dina Boluarte,10 de diciembre de 2022,21 de diciembre de 2022,11 días
223,Alberto Otárola Peñaranda,Independiente,,21 de diciembre de 2022,5 de marzo de 2024,"1 año, 2 meses y 15 días"
224,Gustavo Adrianzén Olaya,Independiente,,6 de marzo de 2024,En el cargo,1 año y 2 meses
